model_name,ACTIVE_PHARMACEUTICAL_INGREDIENT f1-score,DIAGNOSTIC_PROCEDURE_NAME f1-score,DIETARY_SUPPLEMENT_ACTIVE_COMPONENT f1-score,DIETARY_SUPPLEMENT_BRAND_NAME f1-score,DISEASE_ICD_CODE f1-score,DISEASE_NAME f1-score,MEDICAL_SUPPLY_NAME f1-score,Overall f1-score,PHARMACEUTICAL_BRAND_NAME f1-score,SURGICAL_PROCEDURE_NAME f1-score,THERAPEUTIC_INTERVENTION_NAME f1-score,ACTIVE_PHARMACEUTICAL_INGREDIENT precision,DIAGNOSTIC_PROCEDURE_NAME precision,DIETARY_SUPPLEMENT_ACTIVE_COMPONENT precision,DIETARY_SUPPLEMENT_BRAND_NAME precision,DISEASE_ICD_CODE precision,DISEASE_NAME precision,MEDICAL_SUPPLY_NAME precision,Overall precision,PHARMACEUTICAL_BRAND_NAME precision,SURGICAL_PROCEDURE_NAME precision,THERAPEUTIC_INTERVENTION_NAME precision,ACTIVE_PHARMACEUTICAL_INGREDIENT recall,DIAGNOSTIC_PROCEDURE_NAME recall,DIETARY_SUPPLEMENT_ACTIVE_COMPONENT recall,DIETARY_SUPPLEMENT_BRAND_NAME recall,DISEASE_ICD_CODE recall,DISEASE_NAME recall,MEDICAL_SUPPLY_NAME recall,Overall recall,PHARMACEUTICAL_BRAND_NAME recall,SURGICAL_PROCEDURE_NAME recall,THERAPEUTIC_INTERVENTION_NAME recall
athene-v2:72b,0.7699917559769168,0.4451038575667656,0.2,0.6875,0.923076923076923,0.6469937292511988,0.4748387096774194,0.6720937158741189,0.8078431372549019,0.3099787685774947,0.2760180995475113,0.9103313840155945,0.4658385093167702,0.5714285714285714,0.7586206896551724,0.9848024316109423,0.7837354781054513,0.5427728613569321,0.7587984756780991,0.7565582371458552,0.474025974025974,0.3065326633165829,0.6671428571428571,0.4261363636363636,0.1212121212121212,0.6285714285714286,0.868632707774799,0.5508793969849246,0.4220183486238532,0.6031717747683535,0.8665865384615384,0.2302839116719243,0.2510288065843622
aya-expanse:32b,0.470944921677615,0.02247191011235955,0.0,0.1602209944751381,0.9070100143061517,0.6254243681629574,0.2262773722627737,0.5067117640841349,0.5637639290136195,0.03105590062111801,0.0316205533596838,0.8048359240069085,1.0,0.0,0.1907894736842105,0.9723926380368099,0.7828139754485364,0.5535714285714286,0.622759158222915,0.4292897548711502,1.0,0.4,0.3328571428571429,0.01136363636363636,0.0,0.1380952380952381,0.8498659517426274,0.5207286432160804,0.1422018348623853,0.4271204561653599,0.8209134615384616,0.01577287066246057,0.01646090534979424
aya-expanse:8b,0.4941060903732808,0.0,0.0,0.3772455089820359,0.8470588235294118,0.5599144079885878,0.004464285714285715,0.4871339840283939,0.5770627919045147,0.0,0.0,0.7908805031446541,0.0,0.0,0.5080645161290323,0.9381107491856677,0.6476897689768977,0.08333333333333333,0.645123384253819,0.5077625570776255,0.0,0.0,0.3592857142857143,0.0,0.0,0.3,0.7721179624664879,0.4930904522613065,0.002293577981651376,0.391304347826087,0.6682692307692307,0.0,0.0
command-r-plus:104b,0.4076294277929155,0.06486486486486487,0.0,0.1557377049180328,0.7828418230563002,0.5097375105842507,0.2369077306733167,0.4240009658336351,0.4817618719889883,0.09444444444444444,0.007692307692307694,0.8597701149425288,0.6666666666666666,0.0,0.5588235294117647,0.7828418230563002,0.7818181818181819,0.2595628415300547,0.6574316735305129,0.5636070853462157,0.3953488372093023,0.05882352941176471,0.2671428571428571,0.03409090909090909,0.0,0.09047619047619047,0.7828418230563002,0.3781407035175879,0.2178899082568807,0.3129009265858874,0.4206730769230769,0.05362776025236593,0.00411522633744856
command-r:35b,0.7351485148514851,0.2679425837320574,0.1538461538461539,0.5527065527065527,0.9028571428571429,0.5443349753694581,0.3484087102177554,0.6175637393767704,0.7438676554478038,0.2371134020618557,0.2419928825622776,0.8701171875,0.8484848484848485,0.5,0.6879432624113475,0.9663608562691132,0.7855450236966824,0.6459627329192547,0.7947279865395401,0.7079261672095548,0.647887323943662,0.8947368421052632,0.6364285714285715,0.1590909090909091,0.09090909090909091,0.4619047619047619,0.8471849865951743,0.4164572864321608,0.2385321100917431,0.5049893086243763,0.7836538461538461,0.1451104100946372,0.139917695473251
firefunction-v2:70b,0.762902019446522,0.03191489361702127,0.0,0.1255230125523013,0.9187675070028011,0.6501638150709865,0.1945392491467577,0.5933087117097546,0.569655172413793,0.01238390092879257,0.0,0.8006279434850864,0.25,0.0,0.5172413793103449,0.9618768328445748,0.7731601731601732,0.38,0.7598775737340011,0.6682847896440129,0.3333333333333333,0.0,0.7285714285714285,0.01704545454545454,0.0,0.07142857142857142,0.8793565683646113,0.5609296482412061,0.1307339449541284,0.4866357804704206,0.4963942307692308,0.006309148264984227,0.0
gpt-4o,0.8121746095314377,0.6435331230283913,0.1886792452830189,0.7684964200477328,0.9064748201438849,0.68983174835406,0.5958549222797928,0.7390874975311081,0.8606847697756789,0.569078947368421,0.4154302670623146,0.9243391066545124,0.723404255319149,0.25,0.7703349282296651,0.9782608695652174,0.8257443082311734,0.6845238095238095,0.8289765175011077,0.845707656612529,0.5945017182130584,0.7446808510638298,0.7242857142857143,0.5795454545454546,0.1515151515151515,0.7666666666666667,0.8445040214477212,0.5923366834170855,0.5275229357798165,0.6667854597291518,0.8762019230769231,0.5457413249211357,0.2880658436213992
granite3-dense:8b,0.2697881828316611,0.0,0.0,0.08108108108108107,0.1158690176322418,0.2752666328085323,0.0045662100456621,0.2180515759312321,0.3109182935647144,0.0,0.0,0.6142131979695431,0.0,0.0,0.75,0.9583333333333334,0.7188328912466844,0.5,0.5562865497076024,0.3901996370235934,0.0,0.0,0.1728571428571428,0.0,0.0,0.04285714285714286,0.06166219839142091,0.1702261306532663,0.002293577981651376,0.1356022808267997,0.2584134615384616,0.0,0.0
granite3.1-dense:8b,0.4357754519505233,0.0,0.0,0.03636363636363637,0.5454545454545454,0.5755178907721281,0.1199400299850075,0.4205233687578562,0.475609756097561,0.006289308176100629,0.0,0.6524216524216524,0.0,0.0,0.4,0.9290322580645162,0.7187206020696143,0.1731601731601732,0.5861739407454604,0.441358024691358,1.0,0.0,0.3271428571428571,0.0,0.0,0.01904761904761905,0.3860589812332439,0.4798994974874372,0.09174311926605505,0.3278688524590164,0.515625,0.003154574132492113,0.0
granite3.1-moe:3b,0.4364820846905538,0.0,0.0,0.0186046511627907,0.1313868613138686,0.492929292929293,0.00453514739229025,0.3211346080790173,0.1635555555555556,0.0,0.0,0.5075757575757576,0.0,0.0,0.4,0.7105263157894737,0.6908267270668177,0.2,0.5549234135667396,0.3139931740614335,0.0,0.0,0.3828571428571428,0.0,0.0,0.009523809523809525,0.07238605898123325,0.3831658291457287,0.002293577981651376,0.225944404846757,0.1105769230769231,0.0,0.0
